Link|Receta|Ingredientes|Comensales|Tiempo|Dificultad
https://www.recetasgratis.net/receta-de-empanadas-de-pino-77013.html|Empanadas de pino|['500 gramos de harina', '90 gramos de mantequilla o manteca', '50 gramos de vino blanco', '190 gramos de agua caliente', '1 huevo', '1 cucharadita de sal', '500 gramos de carne', '2 cebolla', '1 cucharadita de ají rojo en polvo', '½ cucharadita de pimienta negra molida', '¼ cucharadita de orégano seco molido', '1 pizca de comino molido', '1 cucharadita de ajo en polvo', '1 cucharada sopera de harina', '3 huevos', '10 aceitunas', 'pasas (opcional)', '1 huevo para barnizar', 'sal al gusto']|10 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-riojanas-76998.html|Empanadas riojanas|['500 gramos de bifes de nalga, cuadrada o bola de loma', '1 cebolla grande', '1 cebolla de verdeo', '1 diente de ajo', '½ pimiento rojo', '1 papa', '1 huevo duro', 'aceitunas picadas a gusto', 'pasas de uva a gusto', '12 discos para empanadas', '2 cucharadas soperas de grasa de pella', 'sal, pimienta, pimentón dulce, comino y tomillo a gusto']|3 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tacos-de-huevo-76994.html|Tacos de huevo|['4 huevos', '1 pieza de tomate grande', '1 chile serrano', '½ pieza de cebolla', '½ taza de champiñones', '100 gramos de queso rallado', '1 pizca de sal', '1 pizca de pimienta', '1 pizca de orégano seco', '1 cucharada sopera de mantequilla o aceite', '6 tortillas de maíz o harina', 'salsa picante al gusto']|2 comensales|15m|Dificultad muy baja
https://www.recetasgratis.net/receta-de-tacos-al-pastor-con-pina-76981.html|Tacos al pastor con piña|['500 gramos de carne de res o cerdo', '4 piezas de chile guajillo', '3 piezas de chile japonés', '3 piezas de chile ancho', '1 pieza de tomate', '1 lata pequeña de chiles chipotles adobados', '3 dientes de ajo picados', '1 pieza de cebolla chica en trozos', '¼ taza de vinagre blanco', '½ taza de jugo de naranja', '4 clavos de olor', '1 cucharadita de comino', '1 cucharadita de orégano', '1 cucharadita de sal', '1½ tazas de piña picada', '300 gramos de tortillas de maíz', '1 pieza de cebolla picada', '1 taza de cilantro picado', '1 cucharada sopera de aceite']|5 comensales|4h|Dificultad baja
https://www.recetasgratis.net/receta-de-pani-puri-o-pan-frito-indio-76984.html|Pani puri o pan frito indio|['5 ramas de menta/hierba buena (solo hojas)', '1 rama de culantro', '1 cucharada sopera de pasta de tamarindo', '1 trozo de kion', 'ají en polvo c/n', '½ cucharadita de comino molido', '½ jugo de limón', '1 taza de agua                                                                    (240 mililitros)', 'sal al gusto', '60 gramos de harina común de pastelería', '60 gramos de harina de trigo duro/ semolina', '80 gramos de agua con gas', '1 pizca de sal', 'aceite para freír c/n']|10 comensales|1h 30m|Dificultad media
https://www.recetasgratis.net/receta-de-tarta-de-coliflor-y-salsa-blanca-76969.html|Tarta de coliflor y salsa blanca|['1 rama de coliflor', '½ taza de leche                                                                    (120 mililitros)', '1 cucharada sopera de manteca', '1 cucharada sopera de harina', '1 cucharada postre de nuez moscada', '1 huevo', '½ cucharada postre de ajo en polvo', '½ cucharada postre de pimienta', '1 disco de tarta', '3 cucharadas soperas de queso rallado']|3 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-jujenas-76961.html|Empanadas jujeñas|['500 gramos de carne picada o molida', '1 cebolla grande', '1 cebolla de verdeo', '1 papa', '100 gramos de arvejas cocidas', '1 huevo duro', '12 discos de masa para empanadas', 'sal, pimienta, comino, tomillo a gusto']|3 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-picadillo-para-empanadas-76945.html|Picadillo para empanadas|['500 gramos de carne picada o molida', '1 cebolla grande', '1 pimiento rojo', '1 cebolla de verdeo', '1 diente de ajo', '1 huevo', '1 puñado de aceitunas', '1 cucharada sopera de extracto de tomate', 'sal, pimienta, comino, pimentón, ají molido a gusto']|6 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-mendocinas-76920.html|Empanadas mendocinas|['18 tapas de empanada', '1 kilogramo de carne picada', '1 kilogramo de cebolla', '1 cucharada sopera de orégano', '1 cucharada postre de comino', '1 cucharada postre de ají molido', '1 cucharada sopera de pimentón', '2 huevos', '10 aceitunas', '1 hoja de laurel']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-arepas-de-pollo-76930.html|Arepas de pollo|['1 taza de harina precocida de maíz', '2 tazas de agua                                                                    (480 mililitros)', '1 cucharadita de sal', '1 chorro de aceite de oliva', '500 gramos de pollo cocido o asado', '1 puerro pequeño', '2 cucharadas soperas de aceite de oliva', '3 cucharadas soperas de queso rallado', '1 aguacate maduro', '4 cucharadas soperas de mayonesa', '1 pizca de sal', '1 pizca de pimienta negra recién molida', '1 limón']|4 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tarta-de-pollo-y-champinones-76892.html|Tarta de pollo y champiñones|['1 disco de masa de tarta', '1 pechuga de pollo', '2 ramas de puerro', '1 cebolla', '1 cucharada postre de ajo en polvo', '½ cucharada postre de pimienta', '25 centímetros cúbicos de leche', '2 cucharadas soperas de maicena', '1 lata de champiñones', '1 huevo']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-palta-a-la-reina-76877.html|Palta a la reina|['1 pechuga de pollo', '2 papas', '2 zanahorias', '100 gramos de alverjas', '1 choclo', '2 huevos', '3 paltas', 'perejil c/n', 'Para la mayonesa:', '1 huevo', '1 chorro de jugo de limón o vinagre', '1 cucharadita de mostaza', '300 mililitros de aceite', 'sal al gusto', '1 pizca de pimienta negra molida']|6 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-cordobesas-76874.html|Empanadas cordobesas|['500 gramos de carne picada', '1 papa', '500 gramos de cebolla', '½ morrón rojo', '2 huevos', '20 aceitunas', '½ cucharada postre de comino', '3 ramas de cebolla de verdeo', '1 pizca de nuez moscada', '1 cucharada postre de pimentón', '1 pizca de pimienta', '12 discos de empanada', '2 papas']|4 comensales|1h 30m|Dificultad baja
